dataset,method,seed,fold,total_features,selected_features,feature_ratio,fitness,evaluations,runtime_seconds,redundancy,parameters,selected_indices,accuracy,balanced_accuracy,f1_score,mcc,sensitivity,specificity,jaccard_stability,nogueira_stability
breast_cancer,EHOA,42,holdout,30,15,0.5,0.0332857142857141,69,1.5167175999959,0.3929069343266632,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 2, 3, 5, 7, 8, 9, 15, 16, 18, 21, 22, 23, 24, 27]",0.9210526315789472,0.9275793650793652,0.935251798561151,0.8380140438509858,0.9027777777777778,0.9523809523809524,0.3645284780578898,0.15837104072398178
breast_cancer,SF-EHOA,42,holdout,30,14,0.4666666666666667,0.032952380952381,69,1.5445198000525124,0.3407239525135332,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 3, 5, 7, 8, 13, 14, 15, 16, 18, 20, 21, 23, 24]",0.9385964912280702,0.941468253968254,0.950354609929078,0.8713438408287706,0.9305555555555556,0.9523809523809524,0.3565138649806842,0.05265966909802511
breast_cancer,IG-EHOA,42,holdout,30,12,0.4,0.0366373626373625,67,2.304415999969933,0.3776113410903776,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 3, 5, 7, 8, 9, 12, 16, 18, 21, 23, 27]",0.9210526315789472,0.9275793650793652,0.935251798561151,0.8380140438509858,0.9027777777777778,0.9523809523809524,0.35374941364105456,0.14153343023255793
breast_cancer,DFA-EHOA,42,holdout,30,14,0.4666666666666667,0.03295238095238107,70,1.6610970000037923,0.34072395251353327,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 3, 5, 7, 8, 13, 14, 15, 16, 18, 20, 21, 23, 24]",0.9385964912280702,0.941468253968254,0.950354609929078,0.8713438408287706,0.9305555555555556,0.9523809523809523,0.33220167513645776,0.03726154394722725
breast_cancer,EHOA,123,holdout,30,13,0.43333333333333335,0.03261904761904752,69,1.868418300000485,0.4625892212778401,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[3, 4, 5, 7, 12, 13, 18, 20, 21, 22, 26, 27, 29]",0.9824561403508771,0.9861111111111112,0.9859154929577465,0.9633432944855655,0.9722222222222222,1.0,0.3645284780578898,0.15837104072398178
breast_cancer,SF-EHOA,123,holdout,30,16,0.5333333333333333,0.037970695970695856,70,1.379625000001397,0.3317011051807141,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 1, 2, 5, 8, 11, 13, 14, 15, 18, 19, 20, 21, 22, 27, 28]",0.9473684210526315,0.9484126984126984,0.9577464788732394,0.8886350389948482,0.9444444444444444,0.9523809523809523,0.3565138649806842,0.05265966909802511
breast_cancer,IG-EHOA,123,holdout,30,15,0.5,0.031109890109890022,71,1.2701207000063732,0.468874334112887,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[2, 4, 7, 10, 12, 13, 16, 20, 21, 22, 25, 26, 27, 28, 29]",0.9912280701754386,0.9930555555555556,0.993006993006993,0.9814164735593364,0.9861111111111112,1.0,0.35374941364105456,0.14153343023255793
breast_cancer,DFA-EHOA,123,holdout,30,15,0.5,0.026758241758241687,64,1.571355100022629,0.47310964869907374,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[2, 4, 6, 7, 10, 12, 15, 17, 20, 21, 22, 23, 26, 28, 29]",0.9649122807017544,0.9623015873015872,0.9722222222222222,0.9246031746031746,0.9722222222222222,0.9523809523809523,0.33220167513645776,0.03726154394722725
breast_cancer,EHOA,2026,holdout,30,13,0.43333333333333335,0.036970695970695855,63,1.0376417000079527,0.43411542999787656,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 2, 4, 6, 10, 12, 15, 16, 20, 21, 22, 27, 28]",0.9649122807017544,0.9672619047619048,0.971830985915493,0.9259891667402068,0.9583333333333334,0.9761904761904762,0.3645284780578898,0.15837104072398178
breast_cancer,SF-EHOA,2026,holdout,30,15,0.5,0.028934065934065854,58,0.9073999000247568,0.48739841128598255,"{""bootstrap_count"": 5, ""interaction_top_k"": 50, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[3, 4, 6, 10, 12, 13, 16, 20, 21, 22, 24, 25, 26, 27, 29]",0.9649122807017544,0.9672619047619048,0.971830985915493,0.9259891667402068,0.9583333333333334,0.9761904761904762,0.3565138649806842,0.05265966909802511
