dataset,method,seed,fold,total_features,selected_features,feature_ratio,fitness,evaluations,runtime_seconds,redundancy,parameters,selected_indices,accuracy,balanced_accuracy,f1_score,mcc,sensitivity,specificity,jaccard_stability,nogueira_stability
breast_cancer,EHOA,42,holdout,30,16,0.5333333333333333,0.03579487179487169,114,1.8453941000043415,0.38995756386025654,{},"[1, 2, 3, 5, 7, 8, 9, 13, 14, 16, 17, 18, 20, 21, 23, 27]",0.9473684210526315,0.9484126984126984,0.9577464788732394,0.8886350389948482,0.9444444444444444,0.9523809523809523,0.35151740021991734,0.07852564102564086
breast_cancer,EHOA,123,holdout,30,12,0.4,0.03010989010989002,83,2.011236499994993,0.39771898870334216,{},"[2, 3, 6, 7, 13, 18, 19, 21, 22, 23, 28, 29]",0.9649122807017544,0.9672619047619048,0.971830985915493,0.9259891667402068,0.9583333333333334,0.9761904761904762,0.35151740021991734,0.07852564102564086
breast_cancer,EHOA,2026,holdout,30,18,0.6,0.03646153846153858,66,0.946572599990759,0.37704778268526723,{},"[1, 2, 3, 4, 6, 13, 15, 16, 18, 19, 20, 21, 22, 24, 25, 27, 28, 29]",0.9473684210526315,0.9533730158730158,0.9571428571428572,0.8915448278143033,0.9305555555555556,0.9761904761904762,0.35151740021991734,0.07852564102564086
breast_cancer,EHOA,3407,holdout,30,13,0.43333333333333335,0.03479487179487191,87,1.5008030000026338,0.42043421862797503,{},"[1, 2, 6, 8, 10, 11, 12, 19, 20, 21, 23, 25, 27]",0.9736842105263158,0.9742063492063492,0.9790209790209791,0.9438975339262832,0.9722222222222222,0.9761904761904762,0.35151740021991734,0.07852564102564086
breast_cancer,EHOA,8675309,holdout,30,13,0.43333333333333335,0.02609157509157502,79,1.5574233999941498,0.3978192980991844,{},"[0, 2, 4, 7, 12, 16, 18, 20, 21, 23, 24, 27, 29]",0.9912280701754386,0.9880952380952381,0.993103448275862,0.9812328999345131,1.0,0.9761904761904762,0.35151740021991734,0.07852564102564086
wine,EHOA,42,holdout,13,7,0.5384615384615384,0.026598901098901027,94,1.3320362999802455,0.33593795909746144,{},"[0, 2, 5, 6, 9, 10, 12]",0.9444444444444444,0.9523809523809524,0.9487179487179488,0.9205607476635514,0.9523809523809524,0.9722222222222222,0.5141666666666667,0.2880952380952382
wine,EHOA,123,holdout,13,6,0.46153846153846156,0.03216957180750275,44,0.6167063000029884,0.29443244548700487,{},"[0, 2, 6, 8, 10, 12]",0.9444444444444444,0.9523809523809524,0.9487179487179488,0.9205607476635514,0.9523809523809524,0.9722222222222222,0.5141666666666667,0.2880952380952382
wine,EHOA,2026,holdout,13,7,0.5384615384615384,0.01903978779840841,31,0.436525100027211,0.2987189786929232,{},"[0, 1, 3, 4, 6, 9, 12]",0.9444444444444444,0.942857142857143,0.9453132832080201,0.9167700309890295,0.942857142857143,0.970959595959596,0.5141666666666667,0.2880952380952382
wine,EHOA,3407,holdout,13,7,0.5384615384615384,0.0192836301629405,78,1.094107300043106,0.3094294199112121,{},"[0, 2, 3, 5, 9, 10, 12]",0.9722222222222222,0.9761904761904763,0.9717813051146384,0.9592607977258563,0.9761904761904763,0.9871794871794872,0.5141666666666667,0.2880952380952382
wine,EHOA,8675309,holdout,13,8,0.6153846153846154,0.027124289503599817,28,0.4894687999621965,0.3205084514677677,{},"[0, 1, 2, 6, 9, 10, 11, 12]",0.9166666666666666,0.919047619047619,0.9162962962962963,0.8751464534275023,0.919047619047619,0.9581390831390832,0.5141666666666667,0.2880952380952382
