dataset,method,seed,selector_seed,fold,evaluation_protocol,total_features,selected_features,feature_ratio,fitness,evaluations,runtime_seconds,classifier_seconds,peak_memory_mb,redundancy,parameters,selected_indices,accuracy,balanced_accuracy,f1_score,mcc,roc_auc,pr_auc,sensitivity,specificity,interaction_quality,jaccard_stability,nogueira_stability
breast_cancer,EHOA,387298,487301,outer_1,repeated_nested_cv,30,16,0.5333333333333333,0.034080989876265344,25,0.9247737000005145,0.4037239999997837,0.6417818069458008,0.39566468133682436,"{""bootstrap_count"": 5, ""eta_consolidation"": 0.3, ""eta_exploration"": 0.45, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""reliability_source"": ""resampling"", ""resample_fraction"": 0.8, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 2, 4, 6, 10, 13, 15, 16, 18, 21, 22, 23, 25, 27, 28, 29]",0.9578947368421052,0.9521836903775595,0.9666666666666667,0.9097672817424011,0.9721268789205822,0.9724729578942237,0.9747899159663865,0.9295774647887324,-0.2824050344150545,0.39810512243174784,0.09923771880293608
breast_cancer,SF-EHOA,387298,487301,outer_1,repeated_nested_cv,30,17,0.5666666666666667,0.031815898012748325,25,2.4694252999997843,0.2954007999996975,1.4119882583618164,0.39481549258596954,"{""bootstrap_count"": 5, ""eta_consolidation"": 0.3, ""eta_exploration"": 0.45, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""reliability_source"": ""resampling"", ""resample_fraction"": 0.8, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 2, 6, 10, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 27, 29]",0.9631578947368421,0.9592259438986862,0.9707112970711297,0.9211268105467613,0.9863889217658894,0.9861488876428506,0.9747899159663865,0.9436619718309859,-0.2966755674949449,0.4280925736546469,0.1353182385451951
breast_cancer,IG-EHOA,387298,487301,outer_1,repeated_nested_cv,30,19,0.6333333333333333,0.03246194225721781,25,2.65787040000032,0.3700471000001926,1.4385251998901367,0.41797004280920674,"{""bootstrap_count"": 5, ""eta_consolidation"": 0.3, ""eta_exploration"": 0.45, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""reliability_source"": ""resampling"", ""resample_fraction"": 0.8, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 2, 3, 4, 6, 7, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 27, 29]",0.9473684210526315,0.9466209018818794,0.9576271186440678,0.8884179691353484,0.9647295537933483,0.9640472471847057,0.9495798319327731,0.9436619718309859,-0.33857629955681,0.4145480067577703,0.10431153593512865
breast_cancer,DFA-EHOA,387298,487301,outer_1,repeated_nested_cv,30,13,0.43333333333333335,0.03829846269216356,25,3.073966800000562,0.327636099999836,1.3899993896484375,0.4262847809802949,"{""bootstrap_count"": 5, ""eta_consolidation"": 0.3, ""eta_exploration"": 0.45, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""reliability_source"": ""resampling"", ""resample_fraction"": 0.8, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 2, 3, 7, 12, 13, 16, 18, 20, 25, 27, 28, 29]",0.9578947368421052,0.9550242632264173,0.9663865546218487,0.9100485264528346,0.9754408805775832,0.9750585326208561,0.9663865546218487,0.9436619718309859,-0.2988006545648249,0.42644070124925076,0.15640880858272155
breast_cancer,ECG-EHOA,387298,487301,outer_1,repeated_nested_cv,30,19,0.6333333333333333,0.03246194225721781,25,2.4895661000000473,0.30084509999960574,1.3658132553100586,0.41797004280920674,"{""bootstrap_count"": 5, ""consensus_confidence"": 0.2, ""eta_consolidation"": 0.3, ""eta_exploration"": 0.45, ""evidence_floor"": 0.05, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""minimum_trust"": 0.1, ""reliability_rho"": 0.6, ""reliability_source"": ""resampling"", ""resample_fraction"": 0.8, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""trust_decay"": 0.85, ""trust_reward"": 0.2, ""weight_schedule"": ""adaptive""}","[1, 2, 3, 4, 6, 7, 14, 15, 16, 18, 19, 20, 21, 22, 23, 25, 26, 27, 29]",0.9473684210526315,0.9466209018818794,0.9576271186440678,0.8884179691353484,0.9647295537933483,0.9640472471847057,0.9495798319327731,0.9436619718309859,-0.33857629955681,0.4107001695127444,0.11223036223036209
breast_cancer,M-EHOA,387298,487301,outer_1,repeated_nested_cv,30,16,0.5333333333333333,0.02364604424446935,83,2.7072039000004224,0.2877790000002278,0.9221305847167969,0.42564576650696123,"{""bootstrap_count"": 5, ""eta_consolidation"": 0.3, ""eta_exploration"": 0.45, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""reliability_source"": ""resampling"", ""resample_fraction"": 0.8, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 2, 4, 6, 10, 13, 15, 16, 18, 20, 22, 23, 25, 27, 28, 29]",0.9578947368421052,0.9521836903775595,0.9666666666666667,0.9097672817424011,0.9681619126523849,0.9661520995936128,0.9747899159663865,0.9295774647887324,-0.31745072780917344,0.3808674344555351,0.11174930744402356
breast_cancer,A-EHOA,387298,487301,outer_1,repeated_nested_cv,30,19,0.6333333333333333,0.03427734760750516,24,0.8781327999995483,0.2630982999999105,0.5674657821655273,0.37559845808981956,"{""bootstrap_count"": 5, ""eta_consolidation"": 0.3, ""eta_exploration"": 0.45, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""reliability_source"": ""resampling"", ""resample_fraction"": 0.8, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 2, 6, 9, 10, 13, 14, 15, 16, 18, 20, 21, 22, 23, 24, 25, 27, 28, 29]",0.9631578947368421,0.9563853710498283,0.970954356846473,0.9211492315750531,0.9781630962244052,0.977346092078149,0.9831932773109243,0.9295774647887324,-0.29441895251308475,0.39854592957966806,0.1133705749683146
breast_cancer,G-EHOA,387298,487301,outer_1,repeated_nested_cv,30,30,1.0,0.03585540667923515,25,0.7511364000001777,0.314044599999761,0.63739013671875,0.4008519568608139,"{""bootstrap_count"": 5, ""eta_consolidation"": 0.3, ""eta_exploration"": 0.45, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""reliability_source"": ""resampling"", ""resample_fraction"": 0.8, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19, 20, 21, 22, 23, 24, 25, 26, 27, 28, 29]",0.9578947368421052,0.9521836903775595,0.9666666666666667,0.9097672817424011,0.9879867439933719,0.9871685503354594,0.9747899159663865,0.9295774647887324,-0.4239117889311223,0.5848266922863196,-0.026753681620938607
breast_cancer,EHOA,387298,587304,outer_2,repeated_nested_cv,30,18,0.6,0.04516197975253094,25,0.8130633000000671,0.2920118000001821,0.6134138107299805,0.3930995382930395,"{""bootstrap_count"": 5, ""eta_consolidation"": 0.3, ""eta_exploration"": 0.45, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""reliability_source"": ""resampling"", ""resample_fraction"": 0.8, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 1, 2, 3, 4, 6, 9, 10, 14, 15, 17, 18, 22, 23, 24, 25, 27, 29]",0.9315789473684211,0.9311752870162149,0.9446808510638298,0.8555426357490176,0.9768019884009942,0.9755105571389246,0.9327731092436975,0.9295774647887324,-0.32432713352251424,0.39810512243174784,0.09923771880293608
breast_cancer,SF-EHOA,387298,587304,outer_2,repeated_nested_cv,30,18,0.6,0.04516197975253094,25,2.0703798999993523,0.36161530000026687,1.4289073944091797,0.3930995382930395,"{""bootstrap_count"": 5, ""eta_consolidation"": 0.3, ""eta_exploration"": 0.45, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""reliability_source"": ""resampling"", ""resample_fraction"": 0.8, ""stability_interval"": 2, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 1, 2, 3, 4, 6, 9, 10, 14, 15, 17, 18, 22, 23, 24, 25, 27, 29]",0.9315789473684211,0.9311752870162149,0.9446808510638298,0.8555426357490176,0.9768019884009942,0.9755105571389246,0.9327731092436975,0.9295774647887324,-0.32432713352251424,0.4280925736546469,0.1353182385451951
