dataset,method,seed,fold,selected_features,feature_ratio,fitness,evaluations,runtime_seconds,redundancy,parameters,selected_indices,accuracy,balanced_accuracy,f1_score,mcc,sensitivity,specificity,total_features,jaccard_stability,nogueira_stability
breast_cancer,EHOA,42,holdout,14,0.4666666666666667,0.0351045370047636,15,0.3342697999905795,0.5313410196601762,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 3, 4, 5, 6, 7, 12, 16, 20, 21, 22, 25, 27, 29]",0.9298245614035088,0.9345238095238096,0.9428571428571428,0.8544784126535336,0.9166666666666666,0.9523809523809524,30.0,0.5527009222661396,0.3728222996515679
breast_cancer,SF-EHOA,42,holdout,14,0.4666666666666667,0.0351045370047636,15,0.316671899985522,0.5313410196601762,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 3, 4, 5, 6, 7, 12, 16, 20, 21, 22, 25, 27, 29]",0.9298245614035088,0.9345238095238096,0.9428571428571428,0.8544784126535336,0.9166666666666666,0.9523809523809524,30.0,0.5527009222661396,0.3728222996515679
breast_cancer,IG-EHOA,42,holdout,14,0.4666666666666667,0.0351045370047636,15,0.401266599947121,0.5313410196601762,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 3, 4, 5, 6, 7, 12, 16, 20, 21, 22, 25, 27, 29]",0.9298245614035088,0.9345238095238096,0.9428571428571428,0.8544784126535336,0.9166666666666666,0.9523809523809524,30.0,0.3933333333333333,0.06481939633844636
breast_cancer,DFA-EHOA,42,holdout,14,0.4666666666666667,0.0351045370047636,15,0.6621420999872498,0.5313410196601762,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 3, 4, 5, 6, 7, 12, 16, 20, 21, 22, 25, 27, 29]",0.9298245614035088,0.9345238095238096,0.9428571428571428,0.8544784126535336,0.9166666666666666,0.9523809523809524,30.0,0.35353535353535354,0.10403185664509695
breast_cancer,EHOA,123,holdout,22,0.7333333333333333,0.0443850063901475,16,0.3445972999907098,0.4041134662293648,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 14, 16, 18, 19, 20, 21, 22, 23, 25, 27, 29]",0.9824561403508772,0.9811507936507936,0.9861111111111112,0.9623015873015872,0.9861111111111112,0.9761904761904762,30.0,0.5527009222661396,0.3728222996515679
breast_cancer,SF-EHOA,123,holdout,22,0.7333333333333333,0.0443850063901475,16,0.2933263999875635,0.4041134662293648,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 1, 2, 3, 4, 5, 6, 7, 10, 11, 12, 14, 16, 18, 19, 20, 21, 22, 23, 25, 27, 29]",0.9824561403508772,0.9811507936507936,0.9861111111111112,0.9623015873015872,0.9861111111111112,0.9761904761904762,30.0,0.5527009222661396,0.3728222996515679
breast_cancer,IG-EHOA,123,holdout,20,0.6666666666666666,0.0415329092599047,16,0.7154180000070482,0.4296189293188716,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[1, 2, 3, 4, 5, 6, 8, 9, 10, 13, 15, 16, 18, 20, 22, 23, 24, 26, 27, 29]",0.9824561403508772,0.9861111111111112,0.9859154929577464,0.9633432944855655,0.9722222222222222,1.0,30.0,0.3933333333333333,0.06481939633844636
breast_cancer,DFA-EHOA,123,holdout,14,0.4666666666666667,0.0438750145230626,16,0.3740129000507295,0.3853965950150324,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[0, 1, 3, 5, 7, 8, 9, 15, 18, 21, 24, 26, 27, 29]",0.9736842105263158,0.9742063492063492,0.9790209790209792,0.9438975339262832,0.9722222222222222,0.9761904761904762,30.0,0.35353535353535354,0.10403185664509695
breast_cancer,EHOA,2026,holdout,13,0.4333333333333333,0.0347855815034275,15,0.2134992000064812,0.5023524623125156,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[2, 5, 6, 7, 16, 19, 21, 22, 23, 25, 27, 28, 29]",0.956140350877193,0.9603174603174602,0.9645390070921984,0.9085472857180888,0.9444444444444444,0.9761904761904762,30.0,0.5527009222661396,0.3728222996515679
breast_cancer,SF-EHOA,2026,holdout,13,0.4333333333333333,0.0347855815034275,15,0.2889492000103928,0.5023524623125156,"{""bootstrap_count"": 4, ""interaction_top_k"": 30, ""lambda_interaction"": 0.5, ""lambda_stability"": 0.5, ""reliability_rho"": 0.6, ""stability_interval"": 1, ""stability_strategy"": ""periodic"", ""weight_schedule"": ""adaptive""}","[2, 5, 6, 7, 16, 19, 21, 22, 23, 25, 27, 28, 29]",0.956140350877193,0.9603174603174602,0.9645390070921984,0.9085472857180888,0.9444444444444444,0.9761904761904762,30.0,0.5527009222661396,0.3728222996515679
