iteration,fitness,cv_accuracy,selected_features,population_diversity,dataset,method,seed
1,0.047007326007326086,0.9582417582417582,17,2.5008707633497576,breast_cancer,EHOA,3407
2,0.047007326007326086,0.9582417582417582,17,3.333449004525615,breast_cancer,EHOA,3407
3,0.047007326007326086,0.9582417582417582,17,3.0229550339628513,breast_cancer,EHOA,3407
4,0.04232234432234419,0.9626373626373628,16,2.685998714495827,breast_cancer,EHOA,3407
5,0.04232234432234419,0.9626373626373628,16,2.4583167052559958,breast_cancer,EHOA,3407
6,0.03947985347985336,0.964835164835165,14,1.3913379893886857,breast_cancer,EHOA,3407
7,0.037637362637362524,0.9670329670329672,15,1.6367974194426125,breast_cancer,EHOA,3407
8,0.037637362637362524,0.9670329670329672,15,1.2510921441838354,breast_cancer,EHOA,3407
9,0.037637362637362524,0.9670329670329672,15,1.2855454046416048,breast_cancer,EHOA,3407
10,0.037637362637362524,0.9670329670329672,15,0.7824823305899741,breast_cancer,EHOA,3407
11,0.037637362637362524,0.9670329670329672,15,0.5843893536905611,breast_cancer,EHOA,3407
12,0.037637362637362524,0.9670329670329672,15,0.6027943990663973,breast_cancer,EHOA,3407
13,0.03479487179487191,0.9692307692307691,13,0.6904695918079281,breast_cancer,EHOA,3407
14,0.03479487179487191,0.9692307692307691,13,0.5889727837809101,breast_cancer,EHOA,3407
15,0.03479487179487191,0.9692307692307691,13,0.6330784450009989,breast_cancer,EHOA,3407
16,0.03479487179487191,0.9692307692307691,13,0.4665118829196616,breast_cancer,EHOA,3407
