iteration,fitness,cv_accuracy,selected_features,population_diversity,dataset,method,seed
1,0.039766388783630195,0.9652709359605911,7,1.403772258599382,wine,EHOA,123
2,0.039766388783630195,0.9652709359605911,7,2.5896807957147994,wine,EHOA,123
3,0.039766388783630195,0.9652709359605911,7,1.7869501753205586,wine,EHOA,123
4,0.03216957180750275,0.9721674876847292,6,2.106782800633189,wine,EHOA,123
5,0.03216957180750275,0.9721674876847292,6,2.234386227886326,wine,EHOA,123
6,0.03216957180750275,0.9721674876847292,6,2.2143358679681344,wine,EHOA,123
7,0.03216957180750275,0.9721674876847292,6,2.376969627596386,wine,EHOA,123
8,0.03216957180750275,0.9721674876847292,6,1.8196462610529396,wine,EHOA,123
9,0.03216957180750275,0.9721674876847292,6,1.3932642373680781,wine,EHOA,123
10,0.03216957180750275,0.9721674876847292,6,1.881115739582747,wine,EHOA,123
11,0.03216957180750275,0.9721674876847292,6,0.8800670852807196,wine,EHOA,123
12,0.03216957180750275,0.9721674876847292,6,1.5666685311329691,wine,EHOA,123
13,0.03216957180750275,0.9721674876847292,6,1.16094685498571,wine,EHOA,123
14,0.03216957180750275,0.9721674876847292,6,1.666463599261766,wine,EHOA,123
15,0.03216957180750275,0.9721674876847292,6,1.2170025288226523,wine,EHOA,123
16,0.03216957180750275,0.9721674876847292,6,1.010984719788552,wine,EHOA,123
