iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.03697069597069608,0.05355906593406598,0.9670329670329669,13,0.4928571428571429,0.3469678930213419,0.014011828682570449,2.8,0.85,0,breast_cancer,DFA-EHOA,3407
2,0.03697069597069608,0.049937728937729006,0.9670329670329669,13,0.2369047619047619,0.5623511449114058,0.5140068991482909,2.6,0.8,1,breast_cancer,DFA-EHOA,3407
3,0.03697069597069608,0.048766483516483584,0.9670329670329669,13,0.40119047619047615,0.4550842564173046,0.19711724589773383,2.3568918061033046,0.7455095631357609,2,breast_cancer,DFA-EHOA,3407
4,0.03697069597069608,0.04592170329670338,0.9670329670329669,13,0.37738095238095243,0.4434865278196432,0.24476607403436668,2.2638994544847337,0.7211017760489123,3,breast_cancer,DFA-EHOA,3407
5,0.03697069597069608,0.04569139194139202,0.9670329670329669,13,0.30476190476190473,0.5272078730424282,0.389798188463372,2.1728027044733036,0.6906575101783232,4,breast_cancer,DFA-EHOA,3407
6,0.03697069597069608,0.04349587912087921,0.9670329670329669,13,0.2845238095238095,0.5490782452985353,0.4299627329192547,2.0385734881727653,0.6525748850802886,5,breast_cancer,DFA-EHOA,3407
7,0.03697069597069608,0.04314056776556785,0.9670329670329669,13,0.3107142857142858,0.5167270855710705,0.3774906832298137,1.8428824857012895,0.6049742771674735,6,breast_cancer,DFA-EHOA,3407
8,0.03697069597069608,0.04314056776556785,0.9670329670329669,13,0.29642857142857143,0.5319165784336063,0.4051186079616155,1.6391410562036217,0.5556478195396255,7,breast_cancer,DFA-EHOA,3407
9,0.03697069597069608,0.041361721611721705,0.9670329670329669,13,0.2642857142857143,0.5605596185842757,0.46906887755102034,1.4441147974166797,0.5079372992104104,8,breast_cancer,DFA-EHOA,3407
10,0.03479487179487191,0.04092307692307702,0.9692307692307691,13,0.2952380952380952,0.5541871480406877,0.4093597427856944,1.2220573987083398,0.4539686496052052,0,breast_cancer,DFA-EHOA,3407
