iteration,fitness,cv_accuracy,selected_features,population_diversity,dataset,method,seed
1,0.04667399267399275,0.9582417582417582,16,2.4928444909132645,breast_cancer,EHOA,3407
2,0.04667399267399275,0.9582417582417582,16,3.3020544639068508,breast_cancer,EHOA,3407
3,0.04667399267399275,0.9582417582417582,16,2.664390215389918,breast_cancer,EHOA,3407
4,0.037637362637362524,0.9670329670329672,15,2.891909620537318,breast_cancer,EHOA,3407
5,0.037637362637362524,0.9670329670329672,15,1.8757697080936793,breast_cancer,EHOA,3407
6,0.034128205128205025,0.9692307692307693,11,2.276201677055355,breast_cancer,EHOA,3407
7,0.034128205128205025,0.9692307692307693,11,1.6755808571045516,breast_cancer,EHOA,3407
8,0.034128205128205025,0.9692307692307693,11,1.4617060906450936,breast_cancer,EHOA,3407
9,0.034128205128205025,0.9692307692307693,11,0.8094905502957582,breast_cancer,EHOA,3407
10,0.034128205128205025,0.9692307692307693,11,0.7939191085487226,breast_cancer,EHOA,3407
