iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.03697069597069608,0.05355906593406598,0.9670329670329669,13,0.4928571428571429,0.3469678930213419,0.014011828682570449,2.8,0.85,0,breast_cancer,IG-EHOA,3407
2,0.03697069597069608,0.049937728937729006,0.9670329670329669,13,0.2369047619047619,0.5623511449114058,0.5140068991482909,2.6,0.8,1,breast_cancer,IG-EHOA,3407
3,0.03697069597069608,0.048955128205128276,0.9670329670329669,13,0.40119047619047615,0.4550842564173046,0.19711724589773383,2.4,0.75,2,breast_cancer,IG-EHOA,3407
4,0.03697069597069608,0.04611034798534806,0.9670329670329669,13,0.38333333333333336,0.43401750305558734,0.23248053392658508,2.2,0.7,3,breast_cancer,IG-EHOA,3407
5,0.03697069597069608,0.04611034798534806,0.9670329670329669,13,0.3011904761904762,0.5462857972743219,0.3975772127032632,2.0,0.65,4,breast_cancer,IG-EHOA,3407
6,0.03697069597069608,0.044289835164835256,0.9670329670329669,13,0.26904761904761904,0.5451296307996882,0.4564694564694566,1.8,0.6000000000000001,5,breast_cancer,IG-EHOA,3407
7,0.03697069597069608,0.0431602564102565,0.9670329670329669,13,0.3095238095238095,0.5246338886431766,0.3807803755011313,1.6,0.55,6,breast_cancer,IG-EHOA,3407
8,0.03697069597069608,0.04301327838827848,0.9670329670329669,13,0.29166666666666663,0.5494565681310316,0.41630185532624564,1.4,0.5,7,breast_cancer,IG-EHOA,3407
9,0.03697069597069608,0.04232234432234441,0.9670329670329669,13,0.2630952380952381,0.5667610824234,0.47201290104223703,1.2,0.45,8,breast_cancer,IG-EHOA,3407
10,0.03697069597069608,0.04158974358974368,0.9670329670329669,13,0.2869047619047619,0.5683433674419771,0.4258316209535722,1.0,0.4,9,breast_cancer,IG-EHOA,3407
