iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.045340659340659416,0.05337500000000005,0.9582417582417582,12,0.5095238095238094,0.3249882064649963,-0.01904761904761898,2.8,0.85,0,breast_cancer,SF-EHOA,7919
2,0.045340659340659416,0.05144917582417588,0.9582417582417582,12,0.14166666666666666,0.6845957613814758,0.6964059825879902,2.6,0.8,1,breast_cancer,SF-EHOA,7919
3,0.042831501831501695,0.045801282051282095,0.9604395604395606,11,0.21666666666666665,0.5566822562358277,0.5334928229665072,2.631734928229665,0.7741390550239234,0,breast_cancer,SF-EHOA,7919
4,0.03881318681318669,0.04161630036630032,0.964835164835165,12,0.08214285714285717,0.8171672077922078,0.826953823003856,2.53621840559083,0.7507457708615068,0,breast_cancer,SF-EHOA,7919
5,0.03881318681318669,0.04161630036630032,0.964835164835165,12,0.12619047619047616,0.7727090161300688,0.7371031746031746,2.342263822976821,0.7096422129534292,1,breast_cancer,SF-EHOA,7919
6,0.03881318681318669,0.04161630036630032,0.964835164835165,12,0.1238095238095238,0.753537087912088,0.738123216384086,2.1520411970827893,0.6660585072537117,2,breast_cancer,SF-EHOA,7919
7,0.036970695970695855,0.04006776556776549,0.9670329670329672,13,0.07857142857142856,0.8268936420722135,0.8351167922721405,1.9778676818573793,0.6239428603949785,0,breast_cancer,SF-EHOA,7919
8,0.036970695970695855,0.04006776556776549,0.9670329670329672,13,0.10952380952380951,0.803262330573255,0.7733338808360366,1.7051925277434556,0.5648747671286976,1,breast_cancer,SF-EHOA,7919
9,0.036970695970695855,0.0399010989010988,0.9670329670329672,13,0.05595238095238096,0.880952380952381,0.8838275126934921,1.486458079780414,0.5144919285453251,2,breast_cancer,SF-EHOA,7919
10,0.036970695970695855,0.039398809523809426,0.9670329670329672,13,0.07261904761904761,0.8465986394557822,0.8470171478729741,1.2783604848974397,0.4660288255244707,3,breast_cancer,SF-EHOA,7919
