iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.04582474422129599,0.09222989295187575,0.9583743842364532,6,0.5137362637362638,0.31937229437229425,-0.02785265049415986,2.8,0.85,0,wine,DFA-EHOA,262147
2,0.039766388783630195,0.061397972716938226,0.9652709359605911,7,0.2994505494505494,0.5381660997732427,0.4008773320649014,2.6,0.8,0,wine,DFA-EHOA,262147
3,0.039766388783630195,0.0551752794619174,0.9652709359605911,7,0.3049450549450549,0.5339994331065759,0.38988425558902806,2.4670871698461676,0.7569882468589758,1,wine,DFA-EHOA,262147
4,0.039766388783630195,0.045196594353921954,0.9652709359605911,7,0.2912087912087912,0.5447884456813029,0.4167195767195767,2.3713828174366025,0.732794036215115,2,wine,DFA-EHOA,262147
5,0.034195718075028365,0.04386960022735884,0.9716748768472907,8,0.2417582417582418,0.6413213770356627,0.5136054421768708,2.2550023528761844,0.7000608861272928,0,wine,DFA-EHOA,262147
6,0.034195718075028365,0.04266672982190224,0.9716748768472907,8,0.15659340659340662,0.7622590702947847,0.6810330912025827,2.0669498553620738,0.6555094262475327,1,wine,DFA-EHOA,262147
7,0.032169571807502864,0.04001023114816218,0.972167487684729,6,0.19230769230769235,0.7197497938569368,0.6130952380952381,1.8638595430656522,0.6075023092776126,0,wine,DFA-EHOA,262147
8,0.032169571807502864,0.03830333459643803,0.972167487684729,6,0.19230769230769232,0.6977749433106574,0.6148148148148148,1.6264254980285524,0.5527682486559004,1,wine,DFA-EHOA,262147
9,0.032169571807502864,0.037292771883289125,0.972167487684729,6,0.1510989010989011,0.7595379818594105,0.6976903969134824,1.4266738558082275,0.50418852157669,2,wine,DFA-EHOA,262147
10,0.032169571807502864,0.03536308734369079,0.972167487684729,6,0.1401098901098901,0.7787698412698415,0.7171652535594305,1.2338386542213096,0.457219692367644,3,wine,DFA-EHOA,262147
