iteration,fitness,cv_accuracy,selected_features,population_diversity,dataset,method,seed
1,0.03972868510799537,0.9645320197044336,6,2.1267187388308013,wine,EHOA,155921
2,0.03972868510799537,0.9645320197044336,6,2.4403219465480106,wine,EHOA,155921
3,0.03972868510799537,0.9645320197044336,6,1.8355263871447376,wine,EHOA,155921
4,0.03972868510799537,0.9645320197044336,6,1.9444306327346796,wine,EHOA,155921
5,0.03972868510799537,0.9645320197044336,6,1.4765765343559427,wine,EHOA,155921
6,0.03972868510799537,0.9645320197044336,6,1.7104239695883925,wine,EHOA,155921
7,0.034195718075028365,0.9716748768472907,8,2.340459226117659,wine,EHOA,155921
8,0.034195718075028365,0.9716748768472907,8,1.6586026724621497,wine,EHOA,155921
9,0.034195718075028365,0.9716748768472907,8,1.7580626100162606,wine,EHOA,155921
10,0.034195718075028365,0.9716748768472907,8,2.084588788816059,wine,EHOA,155921
