iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.059967601364153085,0.08474116616142478,0.9440886699507389,6,0.5247252747252747,0.3103057656629085,-0.04983880344590652,2.8,0.85,0,wine,IG-EHOA,196613
2,0.054922319060250045,0.07529227453580899,0.9507389162561577,8,0.315934065934066,0.5125425170068028,0.3678981026372813,2.6,0.8,0,wine,IG-EHOA,196613
3,0.054922319060250045,0.06334871163319436,0.9507389162561577,8,0.4093406593406593,0.45195449391877957,0.17858468062549693,2.4,0.75,1,wine,IG-EHOA,196613
4,0.038959454338764715,0.05519162087912094,0.9645320197044335,5,0.2527472527472528,0.6135770975056689,0.4945054945054945,2.2,0.7,0,wine,IG-EHOA,196613
5,0.038959454338764715,0.0499091038272073,0.9645320197044335,5,0.21978021978021975,0.6547528860028862,0.5604395604395604,2.0,0.65,1,wine,IG-EHOA,196613
6,0.038959454338764715,0.04541907446002276,0.9645320197044335,5,0.1785714285714286,0.6921768707482995,0.6416644579909887,1.8,0.6000000000000001,2,wine,IG-EHOA,196613
7,0.038959454338764715,0.04468754736642671,0.9645320197044335,5,0.2087912087912088,0.6401643990929705,0.5799319727891157,1.6,0.55,3,wine,IG-EHOA,196613
8,0.038959454338764715,0.04468754736642671,0.9645320197044335,5,0.13186813186813187,0.7898951247165533,0.7358730158730158,1.4,0.5,4,wine,IG-EHOA,196613
9,0.038959454338764715,0.04468754736642671,0.9645320197044335,5,0.1043956043956044,0.834608843537415,0.7908994708994709,1.2,0.45,5,wine,IG-EHOA,196613
10,0.0331826449412655,0.04301584406972339,0.97192118226601,7,0.06043956043956044,0.8954081632653061,0.8791208791208791,1.0,0.4,0,wine,IG-EHOA,196613
