iteration,fitness,mean_population_fitness,cv_accuracy,selected_features,population_diversity,jaccard_stability,nogueira_stability,sweep_factor,inertia,stagnation_counter,dataset,method,seed
1,0.02789352027283059,0.047273967411898404,0.9788177339901478,9,0.5054945054945055,0.33560477221191504,-0.01098901098901095,2.8,0.85,0,wine,SF-EHOA,3407
2,0.02789352027283059,0.04082848616900334,0.9788177339901478,9,0.33516483516483514,0.5153834260977118,0.3286772486772488,2.6,0.8,1,wine,SF-EHOA,3407
3,0.02789352027283059,0.03981792345585443,0.9788177339901478,9,0.26648351648351654,0.599025974025974,0.4668357909201416,2.5655996895129607,0.7672499676576,2,wine,SF-EHOA,3407
4,0.02789352027283059,0.03624701591511931,0.9788177339901478,9,0.36538461538461536,0.4629792826221398,0.2689604143544211,2.3789172570334376,0.7331837806784542,3,wine,SF-EHOA,3407
5,0.02789352027283059,0.03624701591511931,0.9788177339901478,9,0.28296703296703296,0.5677295918367348,0.4338565614925215,2.2488299684895727,0.6990133078358339,4,wine,SF-EHOA,3407
6,0.02789352027283059,0.0357429897688518,0.9788177339901478,9,0.2857142857142857,0.5329506802721088,0.4251700680272109,2.075345013399305,0.6565802690782669,5,wine,SF-EHOA,3407
7,0.02789352027283059,0.0349505020841227,0.9788177339901478,9,0.32967032967032966,0.5311701195629766,0.33673469387755117,1.8439174046588365,0.6042658998452559,6,wine,SF-EHOA,3407
8,0.02789352027283059,0.0349505020841227,0.9788177339901478,9,0.2967032967032967,0.5317460317460317,0.4057142857142857,1.6395591418898576,0.5552758855584208,7,wine,SF-EHOA,3407
9,0.02789352027283059,0.0349505020841227,0.9788177339901478,9,0.34065934065934067,0.5002731395588538,0.31868131868131877,1.3919041331958648,0.49683055991482206,8,wine,SF-EHOA,3407
10,0.02789352027283059,0.034950502084122675,0.9788177339901478,9,0.29395604395604397,0.5530315914244486,0.41187040854077483,1.1959520665979324,0.44841527995741104,9,wine,SF-EHOA,3407
