dataset,test,comparison,statistic,p_value,effect_median,effect_ci95_low,effect_ci95_high,paired_rank_biserial,cliffs_delta,wins,ties,losses,holm_adjusted_p,significant_holm
breast_cancer,friedman,all,3.8706720977597278,0.7945472186997113,,,,,,,,,,
breast_cancer,wilcoxon,A-EHOA vs EHOA,21.0,0.5076243443095237,0.0,-0.005681145697715828,0.004201680672268893,-0.23636363636363636,-0.17333333333333334,4.0,5.0,6.0,1.0,False
breast_cancer,wilcoxon,DFA-EHOA vs EHOA,24.5,0.7596144888058398,0.0,-0.002941176470588225,0.0012605042016806678,-0.10909090909090909,-0.08,5.0,5.0,5.0,1.0,False
breast_cancer,wilcoxon,ECG-EHOA vs EHOA,7.0,0.463071015014588,0.0,0.0,0.0,-0.3333333333333333,0.0044444444444444444,2.0,9.0,4.0,1.0,False
breast_cancer,wilcoxon,G-EHOA vs EHOA,10.0,0.916511907863894,0.0,0.0,0.0,-0.047619047619047616,0.02666666666666667,2.0,9.0,4.0,1.0,False
breast_cancer,wilcoxon,IG-EHOA vs EHOA,16.0,0.7791707483631414,0.0,-0.002941176470588225,0.0,-0.1111111111111111,0.057777777777777775,3.0,7.0,5.0,1.0,False
breast_cancer,wilcoxon,M-EHOA vs EHOA,15.0,0.2020347464503962,0.0,-0.00988282636998472,0.0,-0.45454545454545453,-0.10222222222222223,3.0,5.0,7.0,1.0,False
breast_cancer,wilcoxon,SF-EHOA vs EHOA,1.0,0.07961580146011343,0.0,0.0,0.0,-0.8666666666666667,-0.24888888888888888,1.0,10.0,4.0,1.0,False
wine,friedman,all,9.396969696969688,0.22539732438558424,,,,,,,,,,
wine,wilcoxon,A-EHOA vs EHOA,3.5,0.14111613817133623,0.0,0.0,0.01388888888888884,0.6666666666666666,0.21777777777777776,4.0,9.0,2.0,1.0,False
wine,wilcoxon,DFA-EHOA vs EHOA,6.0,0.17629637444051116,0.0,0.0,0.03472222222222232,0.5714285714285714,0.3422222222222222,6.0,8.0,1.0,1.0,False
wine,wilcoxon,ECG-EHOA vs EHOA,3.0,1.0,0.0,0.0,0.0,0.0,0.1511111111111111,2.0,12.0,1.0,1.0,False
wine,wilcoxon,G-EHOA vs EHOA,0.0,0.17971249487899976,0.0,0.0,0.0,1.0,0.09333333333333334,2.0,13.0,0.0,1.0,False
wine,wilcoxon,IG-EHOA vs EHOA,5.0,0.5001842570707944,0.0,0.0,0.014492753623188248,0.3333333333333333,0.2222222222222222,4.0,10.0,1.0,1.0,False
wine,wilcoxon,M-EHOA vs EHOA,11.0,0.02745424563593152,0.01388888888888884,0.0,0.02898550724637672,0.717948717948718,0.4266666666666667,9.0,3.0,3.0,0.3843594389030413,False
wine,wilcoxon,SF-EHOA vs EHOA,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,1.0,False
